,SVM,DecTree,Percep,SGD,RandF,LogR,KNN,GauNB
677,0,0,1,1,0,0,0,0
678,0,1,0,0,0,0,1,0
679,0,0,0,1,0,0,0,0
680,0,0,1,0,0,0,0,1
681,0,0,1,1,0,0,0,0
682,0,1,1,1,1,1,0,0
683,0,0,1,0,0,0,0,0
684,1,0,1,0,1,1,1,0
685,0,1,1,0,1,1,1,1
686,0,0,1,0,0,0,1,0
687,1,0,1,1,1,0,0,0
688,0,0,0,0,0,0,0,0
689,0,0,1,0,0,0,0,0
690,0,0,1,1,0,1,0,1
691,0,0,0,1,0,0,0,0
692,0,0,1,1,0,0,0,0
693,0,0,1,1,0,0,0,0
694,0,0,1,1,1,0,0,0
695,0,0,1,1,0,0,0,0
696,0,0,1,0,0,0,0,0
697,0,0,1,0,0,0,0,0
698,0,0,0,0,0,0,0,0
699,0,1,1,0,1,1,0,1
700,0,0,1,0,0,0,0,0
701,0,1,1,1,1,1,1,1
702,1,1,1,0,1,1,1,1
703,0,0,1,1,0,0,0,0
704,0,1,1,1,1,1,0,1
705,1,0,1,0,0,0,1,0
706,0,0,0,1,0,0,1,0
707,0,1,1,1,1,1,1,1
708,0,1,1,1,1,1,1,0
709,1,1,1,1,1,1,1,1
710,1,1,1,1,1,1,1,1
711,1,1,0,1,1,1,1,1
712,0,0,1,1,0,0,0,0
713,1,1,1,0,1,1,1,0
714,0,0,1,1,0,0,0,0
715,0,0,1,0,1,1,0,0
716,1,1,1,1,1,1,1,1
717,0,0,1,1,0,0,0,0
718,1,0,1,0,0,1,0,0
719,0,0,1,0,1,1,1,1
720,0,0,1,0,0,0,0,0
721,0,1,1,1,1,1,1,0
722,0,0,1,1,0,1,0,0
723,0,0,1,1,0,1,1,0
724,0,0,1,1,1,0,0,1
725,1,1,1,0,1,1,1,1
726,1,1,1,0,1,1,1,0
727,1,1,1,1,1,1,1,0
728,1,1,1,1,1,1,1,1
729,0,0,1,1,1,1,0,1
730,0,0,1,1,1,1,0,1
731,0,0,1,1,0,0,0,0
732,1,1,1,1,1,1,1,1
733,1,0,1,0,1,1,0,1
734,1,0,1,1,1,1,1,1
735,0,0,1,1,1,1,0,0
736,0,0,1,1,1,1,0,1
737,1,1,1,1,1,1,1,0
738,1,0,1,1,1,1,1,1
739,0,0,1,1,0,1,1,0
740,1,0,1,0,0,1,1,1
741,1,0,1,1,1,1,1,1
742,0,0,1,1,0,0,0,0
743,0,1,1,0,1,1,0,0
744,0,0,1,1,0,0,0,0
745,1,0,1,1,1,1,0,1
746,1,0,1,1,0,1,0,0
747,0,1,1,1,1,1,1,1
748,0,0,1,1,1,1,1,0
749,0,1,1,1,1,1,1,0
750,0,1,1,1,1,1,1,1
751,0,0,1,0,0,0,0,0
752,1,0,1,0,1,1,1,1
753,0,1,1,1,1,1,1,1
754,1,1,1,0,1,1,0,1
755,1,0,1,1,1,1,1,1
756,0,0,1,1,1,1,1,1
757,0,1,1,0,1,1,1,1
758,0,0,1,1,1,1,1,1
759,1,0,1,0,0,0,0,0
760,0,1,1,1,1,1,1,1
761,0,0,1,1,0,0,0,0
762,1,1,1,1,1,1,1,1
763,1,1,1,0,1,1,1,1
764,1,1,1,0,1,1,0,1
765,0,1,1,0,0,1,1,1
766,1,1,0,1,0,1,1,1
767,0,0,1,1,0,0,0,0
